No,Category,Criterion,WCAG Level,Keywords,Description,Do,Don't,Code Example Good,Code Example Bad,Testing,Severity
1,Perceivable,1.1.1 Non-text Content,A,"alt text, images, decorative","All non-text content has a text alternative that serves the equivalent purpose","Provide descriptive alt text that conveys the image meaning and context","Use generic alt text like 'image' or 'photo' or leave alt attribute missing entirely","<img src=""hero.jpg"" alt=""Team collaborating around a whiteboard in our NYC office"" />","<img src=""hero.jpg"" />",axe-core + manual review,Critical
2,Perceivable,1.1.1 Decorative Images,A,"decorative, aria-hidden, null alt","Decorative images that convey no information must be hidden from assistive technology","Use empty alt attribute or aria-hidden='true' for purely decorative images","Add descriptive alt text to decorative dividers or background flourishes","<img src=""divider.svg"" alt="""" role=""presentation"" />","<img src=""divider.svg"" alt=""decorative divider line"" />",axe-core + screen reader,High
3,Perceivable,1.1.1 Complex Images,A,"charts, diagrams, infographics","Complex images like charts or diagrams need both short alt and long description","Provide short alt plus detailed description via aria-describedby or figcaption","Rely solely on a short alt attribute for a complex data visualization","<figure><img src=""chart.png"" alt=""Q3 revenue chart"" aria-describedby=""chart-desc"" /><figcaption id=""chart-desc"">Revenue grew 23% from $1.2M to $1.47M between July and September 2025.</figcaption></figure>","<img src=""chart.png"" alt=""chart"" />",screen reader + manual review,High
4,Perceivable,1.1.1 SVG Accessibility,A,"svg, role img, title","SVG elements used as images must have accessible names via title element or aria-label","Add role='img' and a <title> element or aria-label to informative SVGs","Embed SVG inline without any accessible name or role assignment","<svg role=""img"" aria-labelledby=""svg-title""><title id=""svg-title"">Shopping cart with 3 items</title>...</svg>","<svg>...</svg>",axe-core + screen reader,High
5,Perceivable,1.4.3 Contrast (Minimum),AA,"color contrast, 4.5:1, text","Normal text (under 18pt or 14pt bold) must have at least 4.5:1 contrast ratio against its background","Use tools to verify contrast ratios during design and ensure all text states meet 4.5:1","Use light gray text on white backgrounds or rely on color alone to convey information","<p style=""color: #1e293b; background: #ffffff;"">High contrast text (12.63:1)</p>","<p style=""color: #94a3b8; background: #ffffff;"">Low contrast text (2.93:1)</p>",contrast checker (WebAIM) + axe-core,Critical
6,Perceivable,1.4.3 Contrast (Large Text),AA,"large text, 3:1, headings","Large text (18pt+ or 14pt+ bold) must have at least 3:1 contrast ratio against background","Verify heading and large text contrast separately from body text","Assume large headings automatically pass contrast because they are bigger","<h1 style=""color: #475569; background: #ffffff; font-size: 24px;"">Heading (4.56:1)</h1>","<h1 style=""color: #cbd5e1; background: #ffffff; font-size: 24px;"">Heading (1.84:1)</h1>",contrast checker (WebAIM),High
7,Perceivable,1.4.11 Non-text Contrast,AA,"UI components, borders, icons, 3:1","User interface components and graphical objects must have at least 3:1 contrast ratio","Ensure form borders icons and focus indicators all meet 3:1 against adjacent colors","Use very light borders on white inputs or low-contrast icons for critical UI elements","<input style=""border: 2px solid #64748b;"" /> /* 4.39:1 vs white */","<input style=""border: 1px solid #e2e8f0;"" /> /* 1.28:1 vs white */",contrast checker + manual inspection,High
8,Perceivable,1.4.11 Focus Indicator Contrast,AA,"focus, outline, contrast","Focus indicators must be visible with sufficient contrast against surrounding content","Use a distinct high-contrast focus ring that is clearly visible on all backgrounds","Remove default focus outlines without providing a visible custom alternative","button:focus-visible { outline: 2px solid #2563eb; outline-offset: 2px; }","button:focus { outline: none; }",keyboard test + contrast checker,Critical
9,Perceivable,1.3.1 Heading Hierarchy,A,"headings, h1-h6, structure","Heading levels must be sequential and convey document structure accurately","Use headings in proper order (h1 then h2 then h3) to create a logical outline","Skip heading levels (h1 to h4) or use headings solely for visual styling","<h1>Page Title</h1><h2>Section</h2><h3>Subsection</h3>","<h1>Title</h1><h4>Section</h4><h2>Another</h2>",axe-core + HeadingsMap extension,High
10,Perceivable,1.3.1 Lists and Tables,A,"lists, tables, semantic HTML","Use proper semantic elements for lists and tabular data so structure is programmatically determinable","Use <ul>/<ol> for lists and <table> with <th> scope for tabular data","Use <div> and <br> to simulate lists or use tables purely for layout","<table><thead><tr><th scope=""col"">Name</th></tr></thead><tbody><tr><td>Alice</td></tr></tbody></table>","<div>Name<br>Alice</div>",axe-core + screen reader,Medium
