No,Category,Pattern,Keywords,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
1,Layout,Split Layout Auth,"split layout, two column auth, auth illustration, auth design","Auth pages use split layout: form on one side, illustration/branding on the other. Maximizes conversion while showing brand identity.","Desktop: 2-column layout (form 50% + illustration 50%). Mobile: form only (hide illustration). Form side: centered, max-w-md. Illustration side: brand colors, product screenshot, or abstract art.","Don't show illustration on mobile (wastes space). Don't make form area wider than max-w-md. Don't use generic stock photos (use brand-relevant visuals).","<div class=""min-h-screen flex""><div class=""flex-1 flex items-center justify-center p-8""><div class=""w-full max-w-md"">form here</div></div><div class=""hidden lg:flex flex-1 bg-blue-600 items-center justify-center""><img src=""illustration.svg"" alt="""" class=""max-w-lg"" /></div></div>","<div class=""min-h-screen flex items-center justify-center""><form class=""w-full"">form stretches entire width</form></div>",MEDIUM
2,Form,Sign Up Form Fields,"signup fields, registration form, create account fields","Sign up forms should collect minimum required information. Reduce friction for conversion.","Essential fields: Full name (or first+last), Email, Password. Optional: Username (if needed). Use single password field + strength indicator (not confirm password). Place OAuth buttons above form with divider.","Don't ask for phone/address/company at signup (collect later). Don't use confirm password field (use show/hide toggle instead). Don't require username if email is the identifier.","<form class=""space-y-4""><button type=""button"" class=""w-full border py-3 rounded-lg flex items-center justify-center gap-2""><svg>Google icon</svg>Continue with Google</button><div class=""flex items-center gap-4""><hr class=""flex-1""/><span class=""text-sm text-gray-400"">or</span><hr class=""flex-1""/></div><input placeholder=""Full name"" /><input type=""email"" placeholder=""Email"" /><input type=""password"" placeholder=""Password"" /></form>","<form><input placeholder=""First name""/><input placeholder=""Last name""/><input placeholder=""Username""/><input placeholder=""Email""/><input placeholder=""Phone""/><input placeholder=""Password""/><input placeholder=""Confirm password""/></form> <!-- Too many fields -->",CRITICAL
3,Form,Sign In Form Fields,"signin fields, login form, authenticate fields","Sign in forms should be simple: email + password + forgot password link. Minimize friction.","Fields: Email, Password. Links: Forgot password (near password field), Sign up link below form. OAuth buttons above or below form. Optional: Remember me checkbox.","Don't add CAPTCHA on first attempt (only after failures). Don't hide forgot password link. Don't redirect to homepage on error (stay on form with error message).","<form class=""space-y-4""><div><label class=""block text-sm font-medium mb-1"">Email</label><input type=""email"" class=""w-full px-4 py-3 rounded-lg border"" /></div><div><div class=""flex justify-between mb-1""><label class=""text-sm font-medium"">Password</label><a href=""/forgot-password"" class=""text-sm text-blue-600"">Forgot password?</a></div><input type=""password"" class=""w-full px-4 py-3 rounded-lg border"" /></div><button class=""w-full bg-blue-600 text-white py-3 rounded-lg"">Sign in</button></form>","<form><input placeholder=""Email""/><input type=""password"" placeholder=""Password""/><button>Login</button></form> <!-- No labels, no forgot password, no styling -->",CRITICAL
4,Auth,OAuth Buttons,"oauth, social login, google login, github login, sso","OAuth/social login buttons for third-party authentication (Google, GitHub, Apple, etc.).","Place OAuth buttons prominently (above or below email form). Use official brand colors/logos. Label: 'Continue with Google' not just icon. Add visual separator between OAuth and email form.","Don't use custom colors for OAuth buttons (use official brand guidelines). Don't show too many OAuth options (max 3-4). Don't use only icons without text labels. Don't forget loading state on click.","<div class=""space-y-3""><button class=""w-full flex items-center justify-center gap-3 border border-gray-300 py-3 rounded-lg hover:bg-gray-50 transition-colors""><svg viewBox=""0 0 24 24"" class=""w-5 h-5"">Google G logo</svg><span class=""font-medium"">Continue with Google</span></button><button class=""w-full flex items-center justify-center gap-3 bg-gray-900 text-white py-3 rounded-lg hover:bg-gray-800""><svg class=""w-5 h-5"">GitHub logo</svg><span class=""font-medium"">Continue with GitHub</span></button></div>","<div><button style=""background:red"">G</button><button style=""background:black"">GH</button></div> <!-- Wrong colors, icon only, no text -->",HIGH
5,Auth,Form Divider,"form divider, or separator, oauth divider, auth separator","Visual separator between OAuth buttons and email/password form. Common 'or' divider pattern.","Use horizontal line with centered 'or' text. Muted color for line and text. Consistent spacing above and below.","Don't use 'OR' in caps (too aggressive). Don't use thick lines. Don't skip the divider (confusing which form to use).","<div class=""flex items-center gap-4 my-6""><div class=""flex-1 h-px bg-gray-200""></div><span class=""text-sm text-gray-400 font-medium"">or</span><div class=""flex-1 h-px bg-gray-200""></div></div>","<hr class=""my-2"" /> <!-- No 'or' text, minimal spacing -->",LOW
6,Validation,Password Strength Indicator,"password strength, password meter, password quality, strong password","Visual indicator showing password strength as user types. Helps users create secure passwords.","Show strength bar below password input. Use colors: red (weak), orange (fair), yellow (good), green (strong). Show text label. Update in real-time. Requirements: min 8 chars, uppercase, number, special char.","Don't only show after form submission. Don't use only color (add text for accessibility). Don't block form submission for 'fair' passwords (warn but allow).","<div class=""mt-2""><div class=""flex gap-1""><div class=""h-1.5 flex-1 rounded-full bg-green-500""></div><div class=""h-1.5 flex-1 rounded-full bg-green-500""></div><div class=""h-1.5 flex-1 rounded-full bg-green-500""></div><div class=""h-1.5 flex-1 rounded-full bg-gray-200""></div></div><p class=""text-sm text-green-600 mt-1"">Good password</p></div>","<p class=""text-xs text-red-500"">Password too weak</p> <!-- No visual meter, no real-time feedback -->",MEDIUM
7,Validation,Form Error States,"form error, validation error, input error, error message","Clear error messages positioned near the problem field. Help users fix issues quickly.","Show error message directly below the invalid field. Use red color for error border + message. Use aria-invalid and aria-describedby for accessibility. Clear error when user starts fixing.","Don't show all errors in a single banner at top (hard to map to fields). Don't only use color (add icon + text). Don't show errors before user interacts with field.","<div><label class=""text-sm font-medium"">Email</label><input type=""email"" class=""w-full px-4 py-3 rounded-lg border-2 border-red-500 focus:ring-red-500"" aria-invalid=""true"" aria-describedby=""email-error"" /><p id=""email-error"" class=""text-sm text-red-600 mt-1 flex items-center gap-1""><svg class=""w-4 h-4"">error icon</svg>Please enter a valid email address</p></div>","<div class=""bg-red-100 p-4 mb-4"">Error: Invalid email, Invalid password</div><input /> <!-- All errors at top, no field-level -->",CRITICAL
8,Auth,Forgot Password Flow,"forgot password, reset password, password recovery, email reset","Three-step flow: 1) Enter email, 2) Check email message, 3) Reset password form.","Step 1: Email input + Submit. Step 2: Success message 'Check your email' with resend link. Step 3: New password + confirm password. Each step on its own page/view. Back to Sign In link on all steps.","Don't confirm whether email exists (security risk). Don't send password in email (send reset link with token). Don't let reset link expire too slowly (15-60 min max).","<div class=""max-w-md mx-auto text-center""><h1 class=""text-2xl font-bold mb-2"">Reset your password</h1><p class=""text-gray-600 mb-6"">Enter your email and we'll send you a reset link</p><form class=""space-y-4""><input type=""email"" placeholder=""Email address"" class=""w-full px-4 py-3 rounded-lg border"" /><button class=""w-full bg-blue-600 text-white py-3 rounded-lg"">Send reset link</button></form><a href=""/signin"" class=""text-sm text-blue-600 mt-4 block"">Back to Sign In</a></div>","<div><p>Forgot password? Call support at 1-800-XXX</p></div> <!-- No self-service, terrible UX -->",HIGH
9,Auth,Email Verification Page,"email verification, verify email, confirm email, check inbox","After signup, show a page asking user to verify their email. Include resend option.","Show clear message: 'Check your email'. Display the email address used. Include Resend button with cooldown timer. Show 'Wrong email? Change it' link. Auto-redirect after verification.","Don't auto-login before verification (if email verification is required). Don't make resend button available immediately (add 30-60s cooldown). Don't lose user's signup data if they navigate away.","<div class=""max-w-md mx-auto text-center py-20""><div class=""w-16 h-16 bg-blue-100 rounded-full flex items-center justify-center mx-auto mb-6""><svg class=""w-8 h-8 text-blue-600"">email icon</svg></div><h1 class=""text-2xl font-bold mb-2"">Check your email</h1><p class=""text-gray-600 mb-6"">We sent a verification link to <strong>user@example.com</strong></p><button class=""text-blue-600 text-sm"">Resend email</button></div>","<p>Please verify your email.</p> <!-- No email shown, no resend, no visual -->",MEDIUM
10,Auth,2FA Input Page,"2fa, two factor, mfa, otp, verification code, authenticator","Two-factor authentication code input page. Usually 6-digit code from authenticator app or SMS.","Use 6 individual input boxes (OTP pattern). Auto-focus next box on input. Auto-submit when all 6 digits entered. Show 'Use recovery code' link. Allow paste of full code.","Don't use a single long input for OTP (individual boxes feel more natural). Don't block paste functionality. Don't forget backup/recovery code option.","<div class=""max-w-sm mx-auto text-center""><h1 class=""text-xl font-bold mb-2"">Two-factor authentication</h1><p class=""text-gray-600 mb-6"">Enter the 6-digit code from your authenticator app</p><div class=""flex gap-2 justify-center mb-6""><input maxlength=""1"" class=""w-12 h-14 text-center text-2xl font-bold border-2 rounded-lg focus:border-blue-500"" /><input maxlength=""1"" class=""w-12 h-14 text-center text-2xl font-bold border-2 rounded-lg"" /><!-- 4 more --></div><a class=""text-sm text-blue-600"">Use a recovery code instead</a></div>","<input placeholder=""Enter 2FA code"" class=""w-full"" /> <!-- Single input, no visual guidance -->",MEDIUM
