No,Category,Pattern,Keywords,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
1,Container,Max-Width Container,"max-width, container, content width, center, wrapper","All page content must be contained within a consistent max-width container, centered horizontally.","Use max-w-7xl (1280px) or max-w-6xl (1152px) consistently across all sections. Center with mx-auto. Add horizontal padding px-4 sm:px-6 lg:px-8.","Don't mix different max-widths across sections (max-w-5xl in hero, max-w-7xl in features). Don't forget horizontal padding on mobile.","<div class=""max-w-7xl mx-auto px-4 sm:px-6 lg:px-8"">section content</div>","<div class=""max-w-5xl mx-auto"">hero</div><div class=""max-w-7xl mx-auto"">features</div> <!-- Inconsistent -->",CRITICAL
2,Container,Full-Bleed Sections,"full bleed, full width, edge to edge, background extend","Some sections need full-width backgrounds (hero, CTA, footer) while keeping content contained within max-width.","Use full-width wrapper for background, nested max-width container for content. Background extends edge-to-edge, content stays contained.","Don't make content full-width (unreadable on large screens). Don't forget the inner container.","<section class=""bg-gray-900 py-24""><div class=""max-w-7xl mx-auto px-4 sm:px-6 lg:px-8"">contained content</div></section>","<section class=""bg-gray-900 py-24 px-4"">content stretches full width on 4K screens</section>",HIGH
3,Spacing,Section Spacing,"section padding, vertical spacing, section gap, py","Consistent vertical padding between page sections creates visual rhythm and readability.","Use py-16 (64px) for mobile, md:py-24 (96px) for desktop as base section spacing. Use py-20 md:py-32 for hero sections. Keep consistent across all sections.","Don't use different paddings for each section. Don't use less than py-12 (48px) for any section. Don't use margins between sections (use padding inside).","<section class=""py-16 md:py-24"">Features section</section><section class=""py-16 md:py-24"">Testimonials section</section>","<section class=""py-8"">Features</section><section class=""py-20"">Testimonials</section> <!-- Inconsistent spacing -->",HIGH
4,Spacing,Base Spacing Scale,"spacing scale, gap, margin, padding, 4px grid","All spacing values must follow a consistent scale based on 4px (0.25rem) increments.","Use Tailwind spacing scale: 1(4px) 2(8px) 3(12px) 4(16px) 6(24px) 8(32px) 10(40px) 12(48px) 16(64px) 20(80px) 24(96px). Use gap for flex/grid children.","Don't use arbitrary values (margin: 13px, padding: 7px). Don't mix rem and px. Don't use negative margins for layout (use gap instead).","<div class=""flex gap-4""><div class=""p-6"">card</div><div class=""p-6"">card</div></div>","<div class=""flex""><div style=""margin-right:13px;padding:7px"">card</div></div>",MEDIUM
5,Z-Index,Z-Index Scale,"z-index, stacking, layer, overlay, z","Standardized z-index values prevent stacking context conflicts. Define a clear scale.","z-10: Sticky elements (cards, badges). z-20: Dropdowns, tooltips. z-30: Fixed sidebar. z-40: Mobile menu overlay. z-50: Navbar. z-[60]: Modal backdrop. z-[70]: Modal content. z-[80]: Toast/notification. z-[90]: Tooltip over modal. z-[100]: Skip link.","Don't use arbitrary z-index values (z-[9999]). Don't compete with z-indexes (navbar z-50 vs modal z-50). Don't forget z-index only works on positioned elements.","<nav class=""fixed z-50"">navbar</nav><div class=""fixed z-[60] bg-black/50"">modal backdrop</div><div class=""fixed z-[70]"">modal</div><div class=""fixed z-[80]"">toast</div>","<nav style=""z-index:9999"">navbar</nav><div style=""z-index:10000"">modal</div><div style=""z-index:99999"">toast</div>",HIGH
6,Grid,Grid System,"grid, columns, layout grid, css grid, flex grid","Use CSS Grid or Flexbox for page layouts. Standard 12-column grid for complex layouts, flex for simple ones.","Use grid grid-cols-1 md:grid-cols-2 lg:grid-cols-3 for card layouts. Use grid-cols-12 for complex layouts with col-span-*. Use gap-6 or gap-8 between grid items.","Don't use float for layouts. Don't manually calculate widths (width: 33.33%). Don't forget responsive columns (single column on mobile).","<div class=""grid grid-cols-1 md:grid-cols-2 lg:grid-cols-3 gap-8""><div class=""bg-white rounded-xl p-6"">card 1</div><div class=""bg-white rounded-xl p-6"">card 2</div><div class=""bg-white rounded-xl p-6"">card 3</div></div>","<div class=""flex flex-wrap""><div class=""w-1/3 p-2"">card</div></div> <!-- Manual width, no responsive -->",MEDIUM
7,Navbar,Floating Navbar Spacing,"floating nav, navbar spacing, nav offset, content offset","Floating navbar (fixed position with margin from edges) requires content offset to prevent overlap.","Add pt-24 or pt-28 to main content container when using floating navbar. Navbar uses top-4 left-4 right-4 with rounded corners. Calculate offset = navbar height + top margin + extra spacing.","Don't use top-0 left-0 right-0 for floating navbar (use top-4 left-4 right-4). Don't forget content offset (content hides behind navbar). Don't make offset too small (content touches navbar).","<nav class=""fixed top-4 left-4 right-4 z-50 h-16 bg-white/80 backdrop-blur rounded-2xl"">nav</nav><main class=""pt-28"">content starts below navbar</main>","<nav class=""fixed top-0 z-50 h-16"">nav</nav><main>content hidden behind navbar</main>",CRITICAL
8,Layout,Two-Column App Layout,"app layout, sidebar layout, dashboard layout, two column","Dashboard/app layout with persistent sidebar and scrollable main content area.","Sidebar: fixed width (w-64), full height (h-screen), sticky or fixed. Main: flex-1, overflow-y-auto. Use flex for parent container. Sidebar collapsible on mobile.","Don't make sidebar scrollable with page. Don't use percentage width for sidebar. Don't forget mobile layout (sidebar becomes overlay or hidden).","<div class=""flex h-screen""><aside class=""w-64 bg-gray-900 flex-shrink-0 overflow-y-auto"">sidebar</aside><main class=""flex-1 overflow-y-auto p-8"">content</main></div>","<div><div class=""float-left w-1/4"">sidebar</div><div>content</div></div> <!-- Float layout, no flex, not responsive -->",HIGH
9,Layout,Sticky Footer,"sticky footer, footer bottom, min height, page footer","Footer must always appear at the bottom of the viewport even when content is short (not fixed, just pushed down).","Use min-h-screen on page wrapper with flex flex-col. Footer gets mt-auto. OR use grid with grid-rows-[auto_1fr_auto] on body/wrapper.","Don't use fixed positioning for footer (covers content). Don't use absolute bottom-0 (overlaps content). Don't rely on enough content to push footer down.","<div class=""min-h-screen flex flex-col""><nav>navbar</nav><main class=""flex-1"">content</main><footer class=""mt-auto"">footer</footer></div>","<footer class=""fixed bottom-0 w-full"">footer covers content</footer>",MEDIUM
10,Layout,Content Width for Readability,"readable width, text width, prose, line length, max chars","Body text content (blog posts, articles, long-form) should be constrained for readability (65-75 chars per line).","Use max-w-prose (65ch) or max-w-3xl for text-heavy content. Center with mx-auto. Works within larger grid layouts. Use Tailwind prose class for articles.","Don't let text span full max-w-7xl container (too wide to read). Don't constrain non-text content (cards, grids) with prose width. Don't use max-w-prose for dashboard layouts.","<article class=""max-w-prose mx-auto px-4""><h1>Article Title</h1><p>Body text that is comfortable to read at 65 characters per line...</p></article>","<article class=""max-w-7xl mx-auto""><p>Text spanning 1280px width is extremely hard to read on desktop monitors...</p></article>",MEDIUM
