No,Category,Pattern,Keywords,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
1,Navbar,Primary Navigation Bar,"navbar, top nav, header, main nav, navigation bar","Top-level navigation bar with logo, links, and CTA. Present on all public pages.","Include logo (links to home), 4-6 primary links, CTA button (Sign Up/Get Started), mobile hamburger. Use sticky/fixed position with backdrop blur.","Don't use more than 7 nav items. Don't hide CTA on desktop. Don't use dropdown-only navigation without visible links.","<nav class=""fixed top-4 left-4 right-4 z-50 bg-white/80 backdrop-blur-md rounded-2xl shadow-lg px-6 py-3 flex items-center justify-between""><a href=""/"" class=""font-bold text-xl"">Logo</a><div class=""hidden md:flex gap-6"">links</div><a href=""/signup"" class=""bg-primary text-white px-4 py-2 rounded-lg"">Get Started</a></nav>","<nav class=""bg-white p-4""><a>Logo</a><a>Link1</a><a>Link2</a></nav> <!-- No sticky, no CTA, no mobile menu -->",CRITICAL
2,Navbar,CTA in Navigation,"nav cta, signup button, get started, nav action","Navigation must include a prominent CTA button (Sign Up, Get Started, Try Free) that stands out from regular nav links.","Use contrasting color for CTA button. Make it the rightmost element. Maintain on scroll (sticky nav). Use action-oriented text.","Don't use same style as nav links for CTA. Don't hide CTA behind hamburger on tablet. Don't use generic text like 'Click Here'.","<a href=""/signup"" class=""bg-blue-600 text-white px-5 py-2.5 rounded-lg font-medium hover:bg-blue-700 transition-colors"">Get Started Free</a>","<a href=""/signup"" class=""text-gray-600 hover:text-gray-900"">Sign up</a> <!-- Looks like regular link, not a CTA -->",CRITICAL
3,Navbar,Mobile Hamburger Menu,"mobile menu, hamburger, responsive nav, mobile navigation","Collapsible menu for mobile viewports. Triggered by hamburger icon, reveals full navigation.","Use accessible hamburger button (aria-label, aria-expanded). Animate open/close. Include all nav items + CTA. Close on outside click and Escape key.","Don't use hamburger on desktop (>1024px). Don't forget to trap focus inside open menu. Don't leave menu open on route change.","<button aria-label=""Menu"" aria-expanded=""false"" class=""md:hidden p-2""><svg>hamburger icon</svg></button><div class=""fixed inset-0 bg-black/50 z-40""><div class=""bg-white w-80 h-full p-6"">nav items</div></div>","<div class=""md:hidden"" onclick=""toggle()"">☰</div> <!-- No aria, no overlay, emoji icon -->",HIGH
4,Navbar,Sticky/Fixed Navbar,"sticky nav, fixed header, scroll nav, floating nav","Navbar stays visible during scroll. Use floating style (top-4 left-4 right-4) with backdrop blur for modern look.","Add padding-top to body/main content to prevent overlap. Use backdrop-blur-md + semi-transparent bg. Add shadow on scroll. Use z-50.","Don't use top-0 left-0 right-0 (use top-4 left-4 right-4 for floating). Don't forget content offset. Don't make navbar too tall (max 64-72px).","<nav class=""fixed top-4 left-4 right-4 z-50 bg-white/80 backdrop-blur-md rounded-2xl shadow-lg"">...</nav><main class=""pt-24"">content</main>","<nav class=""fixed top-0 left-0 right-0 bg-white"">...</nav><main>content hidden behind nav</main>",HIGH
5,Navigation,Breadcrumbs,"breadcrumb, path, hierarchy, trail, navigation path","Show user's current location in site hierarchy. Essential for e-commerce, blogs, admin panels with nested pages.","Use semantic nav with aria-label='Breadcrumb'. Separate with '/' or '>'. Last item is current page (not a link). Use structured data (BreadcrumbList schema).","Don't use breadcrumbs on landing/home page. Don't make breadcrumb text too long (truncate middle items). Don't use for flat site structures.","<nav aria-label=""Breadcrumb""><ol class=""flex gap-2 text-sm text-gray-500""><li><a href=""/"">Home</a></li><li>/</li><li><a href=""/blog"">Blog</a></li><li>/</li><li aria-current=""page"" class=""text-gray-900"">Post Title</li></ol></nav>","<div>Home > Blog > Post Title</div> <!-- No semantic HTML, no links, no aria -->",MEDIUM
6,Navigation,Sidebar Navigation,"sidebar, side nav, app nav, dashboard nav, vertical nav","Vertical navigation for dashboards and app interfaces. Contains categorized links, user menu, and collapse toggle.","Group links by category with section headers. Show active state clearly. Make collapsible on mobile (overlay). Include user avatar + menu at bottom. Add keyboard navigation.","Don't use sidebar for marketing pages. Don't show more than 8-10 items without grouping. Don't auto-collapse on desktop without user preference.","<aside class=""w-64 bg-gray-900 text-white h-screen flex flex-col""><div class=""p-4 font-bold"">Logo</div><nav class=""flex-1 px-3""><div class=""text-xs text-gray-400 uppercase mb-2"">Main</div><a class=""flex items-center gap-3 px-3 py-2 rounded-lg bg-white/10"">Dashboard</a></nav><div class=""p-4 border-t border-gray-700"">User menu</div></aside>","<div class=""w-48 bg-white""><a>Link1</a><a>Link2</a></div> <!-- No grouping, no active state, no user menu -->",CRITICAL
7,Footer,Primary Footer,"footer, bottom, site footer, page footer","Site-wide footer with organized links, social media, legal info, and copyright. Present on all public pages.","Organize links in 3-5 columns (Product, Company, Resources, Legal, Social). Include copyright with current year. Add social media icons. Include newsletter signup optional.","Don't duplicate all nav items (curate footer links). Don't use tiny font sizes (min 14px). Don't forget legal links (Privacy Policy, Terms of Service). Don't use emojis for social icons.","<footer class=""bg-gray-900 text-gray-300 py-16""><div class=""max-w-7xl mx-auto px-4 grid grid-cols-2 md:grid-cols-4 gap-8""><div><h3 class=""text-white font-semibold mb-4"">Product</h3><a href=""/features"">Features</a></div>...</div><div class=""border-t border-gray-700 mt-12 pt-8 text-sm text-center"">© 2024 Company. All rights reserved.</div></footer>","<footer class=""bg-gray-100 p-4 text-center text-xs"">© Company</footer> <!-- Too minimal, no links, no structure -->",HIGH
8,Footer,Legal Links in Footer,"legal, privacy, terms, cookie, gdpr, compliance","Every public-facing page must include legal links in the footer: Privacy Policy, Terms of Service, Cookie Policy (if applicable).","Place legal links in footer bottom section. Link to actual legal pages. Include 'Privacy Policy' and 'Terms of Service' at minimum.","Don't hide legal links. Don't link to placeholder/empty pages. Don't forget Cookie Policy for EU compliance.","<div class=""flex gap-4 text-sm text-gray-500""><a href=""/privacy"">Privacy Policy</a><a href=""/terms"">Terms of Service</a><a href=""/cookies"">Cookie Policy</a></div>","<!-- No legal links anywhere in footer -->",HIGH
9,Navigation,Page Interlinking,"internal links, cross links, page connections, navigation flow","Pages must link to related pages logically. Sign In ↔ Sign Up, Landing → Pricing, Dashboard → Settings, etc.","Every auth page links to its counterpart. Landing CTA → Sign Up. Dashboard nav → all app sections. Blog posts → related posts. Pricing → Sign Up per plan.","Don't create orphan pages (no incoming links). Don't link to external sites for core navigation. Don't use generic anchor text ('click here').","<!-- Sign In page --> <p class=""text-sm"">Don't have an account? <a href=""/signup"" class=""text-blue-600 hover:underline"">Sign up</a></p>","<!-- Sign In page with no link to Sign Up --> <form>...login fields...</form> <!-- Dead end -->",CRITICAL
10,Navigation,Mobile Bottom Navigation,"bottom nav, mobile tab bar, app navigation, tab navigation","Fixed bottom navigation bar for mobile app-like experiences. Shows 3-5 primary actions with icons.","Use exactly 3-5 items max. Include icons + labels (not icon-only). Highlight active tab. Use safe-area padding for notch devices. Fixed to bottom with z-index.","Don't use bottom nav on desktop. Don't use more than 5 items. Don't use bottom nav AND hamburger menu simultaneously.","<nav class=""fixed bottom-0 left-0 right-0 bg-white border-t z-50 pb-safe md:hidden""><div class=""flex justify-around py-2""><a class=""flex flex-col items-center text-xs text-blue-600""><svg>icon</svg>Home</a>...</div></nav>","<div class=""fixed bottom-0 w-full flex""><button>🏠</button><button>🔍</button><button>👤</button></div> <!-- Emojis, no labels, no safe area -->",MEDIUM
