No,Category,Pattern,Keywords,Description,Do,Don't,Breakpoint,Code Example Good,Code Example Bad,Severity
1,Breakpoints,Mobile-First Approach,"mobile-first, min-width, progressive enhancement, base styles",Start with mobile styles as the default and layer on complexity for larger screens using min-width media queries.,Write base styles for mobile then add min-width breakpoints to enhance for larger screens.,Start with desktop styles and override downward with max-width queries.,All,"className=""text-sm md:text-base lg:text-lg""","@media (max-width: 768px) { .text { font-size: 14px; } } /* desktop-first override chaos */",Critical
2,Breakpoints,Standard Breakpoint Scale,"375, 640, 768, 1024, 1280, 1536, tailwind breakpoints, device widths","Use a consistent breakpoint scale aligned with common device widths: sm(640) md(768) lg(1024) xl(1280) 2xl(1536).",Use Tailwind default breakpoints (sm/md/lg/xl/2xl) consistently across the project.,Invent arbitrary breakpoints like 823px or 1117px that don't align with any design system.,"sm:640px md:768px lg:1024px xl:1280px 2xl:1536px","className=""grid grid-cols-1 sm:grid-cols-2 lg:grid-cols-3 xl:grid-cols-4""","@media (min-width: 823px) { ... } /* arbitrary breakpoint */",High
3,Breakpoints,Container Queries Over Media Queries,"container queries, component-level, @container, intrinsic sizing","Prefer container queries for component-level responsiveness so components adapt to their container rather than the viewport.",Use @container for reusable components that may appear in different layout contexts.,Use viewport media queries inside reusable components that can be placed in any container.,Container-based,"<div className=""@container""><div className=""@md:flex-row flex-col"">...</div></div>","/* Component uses @media(min-width:768px) but is placed in a 400px sidebar — broken */",High
4,Breakpoints,Fluid Typography with clamp(),"clamp, fluid type, viewport units, responsive font-size, interpolation","Use CSS clamp() to create smoothly scaling typography that transitions between a minimum and maximum size without breakpoints.",Use clamp() for font-size to create smooth scaling: font-size: clamp(1rem 2.5vw 2rem).,Use fixed font sizes at each breakpoint creating jarring jumps between sizes.,All,"style={{ fontSize: 'clamp(1rem, 2.5vw, 2rem)' }} /* smooth scaling */","className=""text-sm md:text-base lg:text-lg xl:text-xl"" /* step jumps */",Medium
5,Breakpoints,Viewport Units for Spacing,"vh, vw, dvh, svh, lvh, dynamic viewport, spacing","Use dynamic viewport units (dvh/svh) for height-dependent layouts to account for mobile browser chrome.",Use dvh or svh for mobile full-height layouts to handle mobile browser toolbar.,Use 100vh on mobile which causes content to be hidden behind browser chrome on iOS/Android.,< 640px,"style={{ minHeight: '100dvh' }} /* accounts for mobile toolbar */","style={{ minHeight: '100vh' }} /* broken on mobile — toolbar overlap */",Critical
6,Layout,Responsive CSS Grid,"css grid, auto-fit, auto-fill, minmax, responsive grid, template columns","Use CSS Grid with auto-fit/auto-fill and minmax() to create intrinsically responsive grids without media queries.",Use grid with auto-fit and minmax for self-adapting column counts.,Hardcode grid-cols at every breakpoint when auto-fit would handle it automatically.,All,"className=""grid grid-cols-[repeat(auto-fit,minmax(280px,1fr))]""","className=""grid grid-cols-1 sm:grid-cols-2 md:grid-cols-3 lg:grid-cols-4"" /* when items should just flow */",High
7,Layout,Flexbox Wrap Pattern,"flexbox, flex-wrap, wrapping, flow layout, adaptive","Use flex-wrap to let items flow naturally to the next line when container space runs out.",Use flex-wrap with appropriate flex-basis/min-width so items wrap naturally at the right point.,Use fixed widths on flex children that cause horizontal overflow instead of wrapping.,All,"className=""flex flex-wrap gap-4 [&>*]:min-w-[200px] [&>*]:flex-1""","className=""flex gap-4 [&>*]:w-[300px]"" /* no wrap — overflows on mobile */",High
8,Layout,Stack to Horizontal Grid,"stack, mobile stack, horizontal desktop, direction switch","Stack elements vertically on mobile and switch to horizontal layout on larger screens.",Use flex-col on mobile and md:flex-row or md:grid-cols-N for horizontal layout on desktop.,Use absolute positioning or floats to manually arrange items at different breakpoints.,< 640px / 768px+,"className=""flex flex-col md:flex-row gap-6""","className=""relative [&>*:first-child]:float-left [&>*:last-child]:float-right"" /* fragile float layout */",Critical
9,Layout,Sidebar Collapse Pattern,"sidebar, drawer, collapsible, off-canvas, responsive sidebar","Collapse sidebar to an off-canvas drawer or bottom sheet on mobile screens.",Transform sidebar into a drawer/sheet on mobile using a toggle button and overlay.,Keep a fixed sidebar visible on mobile that takes up most of the viewport width.,< 768px,"className=""hidden lg:block lg:w-64"" /* sidebar */ className=""lg:hidden"" /* mobile toggle button */","className=""w-64 fixed left-0"" /* always visible even on 375px screens */",Critical
10,Layout,Holy Grail Layout,"holy grail, header footer sidebar, full layout, app shell","Implement the classic header/sidebar/content/footer layout that adapts from single column on mobile to multi-column on desktop.",Use CSS Grid template areas that rearrange from single-column mobile to multi-column desktop.,Use nested floats or absolute positioning to achieve multi-column layouts.,All,"className=""grid grid-rows-[auto_1fr_auto] md:grid-cols-[240px_1fr] min-h-dvh""","/* Nested divs with float:left, float:right, clear:both — fragile and breaks on resize */",Medium
