No,Category,Token Name,Keywords,Value,Scale,CSS Variable,Tailwind Class,Usage,Notes,Severity
1,Spacing,space-0,zero spacing none reset flush,"0px","0/4/8/12/16/20/24/32/40/48/64/80/96",--spacing-0,p-0 m-0 gap-0,"Reset default spacing; remove padding/margin from elements that inherit unwanted spacing","Base unit is 4px; all spacing tokens must be multiples of 4 for pixel-perfect alignment on retina displays",Critical
2,Spacing,space-1,tiny micro hairline minimal subtle,"4px (0.25rem)","0/4/8/12/16/20/24/32/40/48/64/80/96",--spacing-1,"p-1 m-1 gap-1","Hairline spacing between tightly grouped inline elements such as icon + label pairs or badge clusters","4px is the atomic unit; never use odd values like 3px or 5px as they break the grid rhythm",High
3,Spacing,space-2,small tight compact inner,"8px (0.5rem)","0/4/8/12/16/20/24/32/40/48/64/80/96",--spacing-2,"p-2 m-2 gap-2","Inner padding for compact components (chips, tags, small buttons); tight list item gaps","Most common small spacing token; use for any element that needs breathing room without visual separation",Critical
4,Spacing,space-4,base default standard medium,"16px (1rem)","0/4/8/12/16/20/24/32/40/48/64/80/96",--spacing-4,"p-4 m-4 gap-4","Default component padding (cards, form fields, buttons); standard gap between sibling elements","The workhorse token; when in doubt about spacing use space-4 as the starting point and adjust",Critical
5,Spacing,space-6,comfortable relaxed generous,"24px (1.5rem)","0/4/8/12/16/20/24/32/40/48/64/80/96",--spacing-6,"p-6 m-6 gap-6","Section inner padding; spacing between logically grouped content blocks within a card or panel","Preferred for card body padding and form group spacing; creates clear visual grouping without excess whitespace",High
6,Spacing,space-8,large roomy airy wide,"32px (2rem)","0/4/8/12/16/20/24/32/40/48/64/80/96",--spacing-8,"p-8 m-8 gap-8","Spacing between distinct content sections within a page; modal body padding; sidebar padding","Marks visual separation between unrelated content groups; signals a shift in context to the reader",High
7,Spacing,space-12,section break segment divide,"48px (3rem)","0/4/8/12/16/20/24/32/40/48/64/80/96",--spacing-12,"p-12 m-12 gap-12","Vertical spacing between major page sections (hero to features, features to pricing)","Section-level breathing room; combine with headings to create clear page hierarchy and scannable structure",High
8,Spacing,space-16,page-margin container gutter layout,"64px (4rem)","0/4/8/12/16/20/24/32/40/48/64/80/96",--spacing-16,"p-16 m-16 gap-16","Page-level vertical padding (top/bottom of full-width sections); large hero section internal spacing","Use for dramatic visual separation; too large for component-level spacing but ideal for page rhythm",Medium
9,Spacing,space-20,xl-spacing extra-large hero,"80px (5rem)","0/4/8/12/16/20/24/32/40/48/64/80/96",--spacing-20,"p-20 m-20 gap-20","Hero section top/bottom padding; large feature showcase spacing; landing page section gaps","Reserve for landing pages and marketing layouts; dashboards and apps rarely need this much space",Medium
10,Spacing,space-24,xxl-spacing massive dramatic,"96px (6rem)","0/4/8/12/16/20/24/32/40/48/64/80/96",--spacing-24,"p-24 m-24 gap-24","Maximum section spacing for landing pages; full-bleed hero areas; dramatic visual breathing room","The ceiling of the spacing scale; if you need more than 96px reconsider the layout rather than adding tokens",Medium
11,Border Radius,radius-none,sharp square angular crisp hard-edge,"0px","0/2/4/6/8/12/16/9999",--radius-none,rounded-none,"Tables, data grids, brutalist design elements, code blocks, hard-edged containers","Sharp corners signal precision and data density; use in dashboards and technical interfaces",Medium
12,Border Radius,radius-sm,subtle slight soft gentle,"4px (0.25rem)","0/2/4/6/8/12/16/9999",--radius-sm,rounded-sm,"Input fields, small buttons, dropdown menus, tooltips, inline code snippets","Barely perceptible softening; prevents the harshness of 0px without looking rounded",High
13,Border Radius,radius-md,default standard moderate,"8px (0.5rem)","0/2/4/6/8/12/16/9999",--radius-md,rounded-md,"Cards, modals, dialogs, medium buttons, notification toasts, dropdown panels","The default radius for most components; balanced between sharp and playful",Critical
14,Border Radius,radius-lg,soft friendly approachable rounded,"12px (0.75rem)","0/2/4/6/8/12/16/9999",--radius-lg,rounded-lg,"Feature cards, hero images, large panels, image containers, promotional banners","Noticeably rounded; conveys approachability and modern design; popular in SaaS landing pages",High
