No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Routing,Use App Router for all projects,App Router is the only recommended approach in Next.js 16,app/ directory with page.tsx,pages/ directory (legacy),app/dashboard/page.tsx,pages/dashboard.tsx,High,https://nextjs.org/docs/app
2,Routing,Use file-based routing,Create routes by adding files in app directory,page.tsx for routes layout.tsx for layouts,Manual route configuration,app/blog/[slug]/page.tsx,Custom router setup,Medium,https://nextjs.org/docs/app/building-your-application/routing
3,Routing,Colocate related files,Keep components styles tests with their routes,Component files alongside page.tsx,Separate components folder,app/dashboard/_components/,components/dashboard/,Low,
4,Routing,Use route groups for organization,Group routes without affecting URL,(parentheses) for route groups,Nested folders affecting URL,(marketing)/about/page.tsx,marketing/about/page.tsx,Low,https://nextjs.org/docs/app/building-your-application/routing/route-groups
5,Routing,Handle loading states,Use loading.tsx for route-level Suspense boundaries,loading.tsx alongside page.tsx,Manual loading state management,app/dashboard/loading.tsx,useState for loading in page,Medium,https://nextjs.org/docs/app/building-your-application/routing/loading-ui-and-streaming
6,Routing,Handle errors with error.tsx,Catch errors at route level with error boundaries,error.tsx with reset function,try/catch in every component,app/dashboard/error.tsx,try/catch in page component,High,https://nextjs.org/docs/app/building-your-application/routing/error-handling
7,Rendering,Server Components by default,Server Components reduce client JS bundle - this is the default in Next.js 16,Keep components as Server Components unless they need interactivity,Add 'use client' unnecessarily,export default function Page() { },('use client') for static content,High,https://nextjs.org/docs/app/building-your-application/rendering/server-components
8,Rendering,Mark Client Components explicitly,'use client' directive required for interactive components using hooks or browser APIs,Add 'use client' only for useState useEffect onClick etc,Server Component with hooks/events,"'use client'; export default function Counter() { const [c, setC] = useState(0) }",No directive with useState,High,https://nextjs.org/docs/app/building-your-application/rendering/client-components
9,Rendering,Push Client Components to leaves,Keep Client Components as leaf nodes to maximize Server Component tree,Client wrapper for interactive parts only - extract small interactive pieces,Mark entire page as Client Component,<InteractiveButton/> in Server Page,('use client') on page.tsx,High,
10,Rendering,Use Suspense for streaming,Stream content with Suspense boundaries for progressive rendering,Suspense for slow data fetches with skeleton fallbacks,Wait for all data before rendering anything,<Suspense fallback={<Skeleton/>}><SlowComponent/></Suspense>,await allData then render everything,Medium,https://nextjs.org/docs/app/building-your-application/routing/loading-ui-and-streaming
11,Rendering,Partial Prerendering (PPR),Next.js 16 supports PPR - static shell with dynamic Suspense holes,Static shell + Suspense boundaries for dynamic parts,Full dynamic or full static pages,Static header + <Suspense><DynamicContent/></Suspense>,Entire page as SSR or SSG,Medium,https://nextjs.org/docs/app/building-your-application/rendering/partial-prerendering
12,DataFetching,Fetch data in Server Components,Fetch directly in async Server Components - no useEffect needed,async function Page() { const data = await fetch() },useEffect for initial data fetching,const data = await db.query(),useEffect(() => fetch(url).then(setData)),High,https://nextjs.org/docs/app/building-your-application/data-fetching
13,DataFetching,Default fetch is uncached in Next.js 15+,Since Next.js 15 fetch is NOT cached by default - must opt-in explicitly,Explicitly set cache: 'force-cache' or use 'use cache' for static data,Assume fetch results are cached (they are NOT),fetch(url { cache: 'force-cache' }),fetch(url) // NOT cached by default,High,https://nextjs.org/docs/app/building-your-application/caching
14,DataFetching,Use 'use cache' directive (Next.js 16),Replace unstable_cache with 'use cache' directive for caching functions or components,'use cache' at top of async function or component file,unstable_cache() or manual caching,"'use cache'; export async function getProducts() { return db.product.findMany() }","import { unstable_cache } from 'next/cache'",High,https://nextjs.org/docs/app/api-reference/directives/use-cache
15,DataFetching,Use cacheLife for TTL control,Control cache duration with cacheLife() inside 'use cache' functions,cacheLife('hours') or cacheLife({ stale: 300 revalidate: 60 }) with 'use cache',Hardcoded revalidate numbers without semantic meaning,"'use cache'; cacheLife('days'); return await fetchRates()","export const revalidate = 86400 // magic number",Medium,https://nextjs.org/docs/app/api-reference/functions/cacheLife
16,DataFetching,Use cacheTag for targeted revalidation,Tag cached data for surgical revalidation with revalidateTag(),cacheTag('products') inside 'use cache' + revalidateTag('products') in Server Action,revalidatePath('/') to revalidate everything,"'use cache'; cacheTag('user-' + id); return await getUser(id)","revalidatePath('/') // revalidates everything",Medium,https://nextjs.org/docs/app/api-reference/functions/cacheTag
17,DataFetching,Use Server Actions for mutations,Server Actions replace API routes for form submissions and mutations,action={serverAction} in forms or direct call in event handlers,Creating API routes for every mutation,"'use server'; export async function createPost(formData: FormData) { }","<form onSubmit={() => fetch('/api/posts' { method: 'POST' })}>",Medium,https://nextjs.org/docs/app/building-your-application/data-fetching/server-actions-and-mutations
18,DataFetching,Revalidate after mutations,Use revalidatePath/revalidateTag after Server Actions to update cached data,revalidatePath or revalidateTag after mutation,router.refresh() or manual refetch,"'use server'; await db.post.create(data); revalidateTag('posts')","router.refresh() after every mutation",Medium,
19,DataFetching,Use after() for non-blocking work,Schedule logging/analytics after response is sent using after() from next/server,after(async () => await logAnalytics()),Blocking response for non-critical work,"import { after } from 'next/server'; after(() => log(event)); return data","await logAnalytics(); return data // blocks response",Medium,https://nextjs.org/docs/app/api-reference/functions/after
